entity,entity_group,actor_type,mentions,unique_stories,weighted_mentions,estimated_reach,share_of_voice,avg_stance,stance_label,avg_sentiment,top_cluster,top_frame,impact_score,narrative_role,sample_headline,sample_link
Gaza,Actor / organisation,State / geopolitical actor,59,50,47.68670955423304,8085980,0.013263612437283414,-0.32001694915254236,Lean preserve,0.2483050847457627,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,29.8,Geopolitical reference point,Public meeting on neutrality in Galway,https://connachttribune.ie/news/public-meeting-on-neutrality-in-galway-8114409
The Pat Kenny Show,Media outlet,Media outlet,18,1,13.765643388614924,4266000,0.0233885942056412,-0.1142222222222222,Mixed / unclear,-0.0166666666666666,Ukraine war and moral neutrality,Other Neutrality Debate,28.6,Media amplifier,The Pat Kenny Show - Neutrality,
United States,Actor / organisation,State / geopolitical actor,57,46,44.717101493620156,8568332,0.012437643718225385,-0.2576140350877193,Lean preserve,0.005263157894736843,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,27.9,Geopolitical reference point,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
RTE,Media outlet,Media outlet,11,10,10.47439525469142,4121810,0.0177965804608949,-0.25,Lean preserve,0.1181818181818181,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,27.2,Media amplifier,Political fallout ongoing after Healy-Rae resignation,https://www.rte.ie/news/2026/0415/1568354-politics-live-blog
Helen McEntee,Actor / organisation,Person,73,31,55.092313340574705,6181481,0.015323411895126175,0.020561643835616428,Mixed / unclear,-0.004109589041095891,General neutrality debate,Defence Capability / Underinvestment,25.5,Government responder / reframer,Dorcha Lee: Security will be the big challenge for Ireland's EU presidency,https://irishexaminer.com/opinion/commentanalysis/arid-41823866.html
People Before Profit,Actor / organisation,Political party,46,22,36.31797087575553,6154296,0.010101504060722254,-0.6727391304347826,Strong preserve,0.16304347826086957,Defence capability and security gaps,Other Neutrality Debate,25.0,Neutrality defender / challenger,Galway Bay FM - Neutrality,https://irishtimes.com/ireland/2026/04/18/hundreds-demonstrate-in-dublin-to-demand-irelands-neutrality-be-protected
Labour Party,Actor / organisation,Political party,44,22,33.82873080392846,5310598,0.009409145206762724,-0.7107272727272728,Strong preserve,0.075,Shannon Airport and US military use,Shannon / US Military / Anti-war,24.9,Neutrality defender / challenger,BUYER'S REMORSE AND BREXIT,https://www.corkbeo.ie/news/local-news/91-year-old-clare-woman-33776274
Lelia Doolan,Actor / organisation,Person,44,23,33.63255288105491,6743375,0.009354580151591813,-0.8266590909090908,Strong preserve,0.14886363636363636,Shannon Airport and US military use,Shannon / US Military / Anti-war,24.3,Defender of neutrality,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh
Liveline,Media outlet,Media outlet,14,1,10.785067714751849,4396000,0.0183244302601444,-0.1613571428571428,Lean preserve,0.0678571428571428,Ukraine war and moral neutrality,Other Neutrality Debate,24.2,Media amplifier,Liveline - Neutrality,
Galway Bay FM,Media outlet,Media outlet,15,3,12.429479882558004,1783690,0.0211183780484074,-0.3417333333333333,Lean preserve,-0.0866666666666666,Sinn Féin and government neutrality clash,Other Neutrality Debate,22.7,Media amplifier,Galway Bay FM - Neutrality,https://www.galwaybayfm.ie/galway-bay-fm-news-desk/people-before-profit-selects-denman-rooke-to-contest-galway-west-by-election-214638
RTE - Radio 1,Media outlet,Media outlet,10,1,10.186361385536175,4500000,0.0173071948874807,0.0325,Mixed / unclear,0.065,Ukraine war and moral neutrality,Other Neutrality Debate,22.2,Media amplifier,RTE - Radio 1 - Neutrality,
Simon Harris,Actor / organisation,Person,45,23,33.33494043771532,4722851,0.009271802032869236,-0.6240444444444445,Strong preserve,0.03666666666666667,Shannon Airport and US military use,Shannon / US Military / Anti-war,21.4,Government responder / reframer,KFM Radio - Neutrality,https://www.corkbeo.ie/news/local-news/91-year-old-clare-woman-33776274
Classic Hits 4FM,Media outlet,Media outlet,12,1,11.77490088271145,2400000,0.0200062118989045,-0.461,Strong preserve,-0.1875,Sinn Féin and government neutrality clash,Other Neutrality Debate,20.8,Media amplifier,Classic Hits 4FM - Neutrality,
Hot Press,Media outlet,Media outlet,8,8,7.834400029136271,3357168,0.0133110816511257,-0.71875,Strong preserve,0.125,Defence capability and security gaps,Shannon / US Military / Anti-war,20.7,Media amplifier,"Sally Rooney and Omar Barghouti speak at BDS Panel: ""The Irish government is not listening to its people, not just about Palestine but about everything"" | Hotpress",https://www.hotpress.com/opinion/sally-rooney-and-omar-barghouti-speak-at-bds-panel-the-irish-government-is-not-listening-to-its-people-not-just-about-palestine-but-about-everything-23137398
Cabinet,Actor / organisation,State / government,43,32,33.014674114015364,4133458,0.009182722949116586,-0.3805813953488373,Lean preserve,-0.09069767441860466,Triple Lock and UN mandate debate,Other Neutrality Debate,20.3,Government responder / reframer,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238
Triple Lock,Actor / organisation,Institution / issue actor,22,20,17.512710668398757,2414045,0.004870996745282891,-0.680590909090909,Strong preserve,0.22272727272727275,Triple Lock and UN mandate debate,Other Neutrality Debate,20.2,Issue symbol / mobilising frame,"In a world thirsty for bloody war, Ireland must protect the Triple Lock at all costs",https://irishtimes.com/ireland/2026/04/18/hundreds-demonstrate-in-dublin-to-demand-irelands-neutrality-be-protected
Hard Shoulder,Media outlet,Media outlet,13,3,9.532433741186424,1959446,0.0161961354272162,-0.1382307692307692,Mixed / unclear,-0.05,Ukraine war and moral neutrality,Other Neutrality Debate,19.1,Media amplifier,Hard Shoulder - Neutrality,https://www.newstalk.com/news/irish-jews-2240075
Today With David McCullagh,Media outlet,Media outlet,9,1,9.409928762798826,3141000,0.0159879926512637,-0.0741111111111111,Mixed / unclear,-0.0722222222222222,Ukraine war and moral neutrality,Other Neutrality Debate,18.5,Media amplifier,Today With David McCullagh - Neutrality,
EU,Actor / organisation,International body,43,21,35.055900004740046,6130455,0.009750470847107538,-0.5974418604651163,Strong preserve,0.00813953488372093,Referendum and constitutional protection,Other Neutrality Debate,17.8,Alignment reference point,Proposal to increase EU tariffs on goods from Israeli settlements,https://irishtimes.com/world/europe/2026/04/20/proposal-to-increase-eu-tariffs-on-goods-from-israeli-settlements
Irish Neutrality League,Actor / organisation,Civil society / NGO,28,5,22.090817858133832,3018754,0.006144354459174404,-0.8642857142857142,Strong preserve,0.20892857142857144,Defence capability and security gaps,Other Neutrality Debate,17.7,Neutrality defender / challenger,"Fuel demonstrations prove protests ‘effective’, say neutrality campaigners",https://echolive.ie/nationalnews/arid-41828123.html
The Western People,Media outlet,Media outlet,10,10,7.848679989387679,578860,0.013335344098304,-0.0177,Mixed / unclear,0.0,"NATO, EU security and defence cooperation #2",Ukraine / Russia / Moral Responsibility,17.6,Media amplifier,"Irish neutrality should be put to a public vote, say Sinn Féin",https://westernpeople.ie/irish-neutrality-should-be-put-to-a-public-vote-say-sinn-f%C3%A9in_arid-93952.html
Ireland Palestine Solidarity Campaign,Actor / organisation,Civil society / NGO,29,6,22.598314984559373,2709646,0.0062855100402758445,-0.8344827586206897,Strong preserve,0.1793103448275862,Defence capability and security gaps,Other Neutrality Debate,17.3,Defender of neutrality,"Fuel demonstrations prove protests ‘effective’, say neutrality campaigners",https://echolive.ie/nationalnews/arid-41828123.html
Volodymyr Zelenskiy,Actor / organisation,Person,21,14,17.162465367383344,2763038,0.004773579289264776,0.5842380952380952,Move away / align,-0.3119047619047619,Defence capability and security gaps,Defence Capability / Underinvestment,16.8,Geopolitical reference point,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees
Newstalk,Media outlet,Media outlet,6,2,6.035955857103781,4312335,0.0102554249154618,-0.1111666666666666,Mixed / unclear,-0.05,Ukraine war and moral neutrality,Other Neutrality Debate,16.4,Media amplifier,Newstalk - Neutrality,https://www.newstalk.com/news/richard-boyd-barrett-i-dont-think-we-should-go-to-the-st-patricks-day-celebration-2243739
98FM,Media outlet,Media outlet,10,1,9.431668244528549,1680000,0.0160249292405726,-0.0857,Mixed / unclear,0.0349999999999999,Sinn Féin and government neutrality clash,Other Neutrality Debate,16.3,Media amplifier,98FM - Neutrality,
The Belfast Telegraph,Media outlet,Media outlet,7,7,6.80325795688826,1819683,0.011559113885048,-0.4458571428571428,Lean preserve,-0.0928571428571428,Defence capability and security gaps,Other Neutrality Debate,15.9,Media amplifier,Nolan’s Peelers series is both a harrowing insight into the problems facing NI and a damning reflection on Stormont’s failures,https://www.belfasttelegraph.co.uk/news/republic-of-ireland/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport/a/145873110.html
Galway Talks,Media outlet,Media outlet,13,1,9.257400758091178,845000,0.0157288390827459,-0.2749230769230769,Lean preserve,0.2269230769230769,Triple Lock and UN mandate debate,Other Neutrality Debate,15.7,Media amplifier,Galway Talks - Neutrality,
Ivana Bacik,Actor / organisation,Person,29,8,20.800841706751196,2716744,0.005785559652713304,-0.9073793103448275,Strong preserve,0.10172413793103449,Shannon Airport and US military use,Shannon / US Military / Anti-war,15.5,Defender of neutrality,91-year-old Clare woman walks 220km from Shannon Airport to the Dáil in protest,https://www.corkbeo.ie/news/local-news/91-year-old-clare-woman-33776274
Kerry Today,Media outlet,Media outlet,12,1,8.690158331066028,996000,0.0147650626309393,0.0069166666666666,Mixed / unclear,0.1916666666666666,Ukraine war and moral neutrality,Other Neutrality Debate,15.0,Media amplifier,Kerry Today - Neutrality,
Leinster Express,Media outlet,Media outlet,9,8,6.769034870145035,518994,0.0115009669560811,-0.4154444444444445,Lean preserve,0.2166666666666666,Shannon Airport and US military use,Shannon / US Military / Anti-war,14.8,Media amplifier,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://leinsterexpress.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html
The University Times,Media outlet,Media outlet,8,8,6.354785334791217,499376,0.0107971339416156,-0.253375,Lean preserve,-0.125,Ukraine war and moral neutrality,Other Neutrality Debate,14.0,Media amplifier,"Ireland’s Defence Gap: Neutrality, Without Capability",https://universitytimes.ie/2026/03/irelands-defence-gap-neutrality-without-capability
UN,Actor / organisation,International body,17,16,14.52616232216582,3766271,0.004040316244155149,-0.49376470588235294,Strong preserve,0.2882352941176471,Ukraine war and moral neutrality,Peacekeeping / Identity / Tradition,13.5,Institutional legitimacy anchor,"Ukrainian diplomat on Irish neutrality: ‘Security is something you need to discuss, but which makes you very nervous’",https://irishtimes.com/world/europe/2026/05/01/stop-you-have-crossed-a-line-ukrainian-diplomat-likens-irish-security-attitude-to-stance-on-birth-control
Midlands Today,Media outlet,Media outlet,11,1,7.571730608236723,880000,0.0128647916868853,-0.4034545454545455,Lean preserve,-0.0863636363636363,Sinn Féin and government neutrality clash,Other Neutrality Debate,13.2,Media amplifier,Midlands Today - Neutrality,
Waterford News & Star,Media outlet,Media outlet,8,7,6.051185285793376,503768,0.0102813005623566,-0.15475,Lean preserve,0.1625,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,13.1,Media amplifier,"Irish neutrality should be put to a public vote, say Sinn Féin - Homepage - Waterford News & Star",https://waterford-news.ie/irish-neutrality-should-be-put-to-a-public-vote-say-sinn-f%C3%A9in_arid-93952.html
Kilkenny People,Media outlet,Media outlet,8,7,6.088216982839708,502968,0.0103442194765339,-0.46525,Strong preserve,0.1625,Defence capability and security gaps,Other Neutrality Debate,13.1,Media amplifier,‘Dangerous development’ - Kilkenny MEP warns against EU proposal,https://www.kilkennypeople.ie/news/politics/2063053/dangerous-development-kilkenny-mep-warns-against-eu-proposal.html
LMFM,Media outlet,Media outlet,10,1,7.873335823516739,550000,0.0133772357326408,-0.0617,Mixed / unclear,-0.03,Ukraine war and moral neutrality,Other Neutrality Debate,12.6,Media amplifier,LMFM - Neutrality,
Shannonwatch,Actor / organisation,Civil society / NGO,2,2,1.5282462750933008,120537,0.0004250674137729477,-0.8285,Strong preserve,0.325,Defence capability and security gaps,Other Neutrality Debate,12.4,Neutrality defender / challenger,91 year old lady walking to Dáíl welcomes Laois supporters,https://www.leinsterexpress.ie/news/newsletter-laois-live/2053521/91-year-old-lady-walking-to-dail-welcomes-laois-supporters.html
The Kerryman,Media outlet,Media outlet,8,4,7.277787759335341,159088,0.0123653664280347,-0.41875,Lean preserve,0.04375,"NATO, EU security and defence cooperation #2",Shannon / US Military / Anti-war,12.1,Media amplifier,It’s time for Irish people to push back against war on neutrality,
Sunday Independent (Ireland),Media outlet,Media outlet,6,6,5.629980050073941,912804,0.0095656494258699,0.082,Mixed / unclear,0.1083333333333333,Ukraine war and moral neutrality,Other Neutrality Debate,12.1,Media amplifier,We have an opportunity to end EU veto and we must grasp it,
Echo Live,Media outlet,Media outlet,7,7,5.272217818620509,389431,0.0089577914843741,-0.1511428571428571,Lean preserve,-0.0499999999999999,Defence capability and security gaps,Defence Capability / Underinvestment,11.7,Media amplifier,Tom MacSweeney column: Recognition for those who saved German sub crew,https://echolive.ie/corknews/arid-41836028.html
The Westmeath Examiner,Media outlet,Media outlet,7,7,5.214175199776697,415905,0.0088591738447588,0.1028571428571428,Mixed / unclear,-0.0928571428571428,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,11.7,Media amplifier,"LIVE: Fuel Protests, as it happens | Westmeath Examiner",https://www.westmeathexaminer.ie/2026/04/09/live-fuel-protests-as-it-happens
Morning Ireland,Media outlet,Media outlet,6,1,4.6701171562244745,2796000,0.0079347889507348,-0.2083333333333333,Lean preserve,0.325,Shannon Airport and US military use,Other Neutrality Debate,11.7,Media amplifier,Morning Ireland - Neutrality,
The Meath Chronicle,Media outlet,Media outlet,7,7,5.216538015225368,419734,0.008863188399702,0.0975714285714285,Mixed / unclear,-0.0928571428571428,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,11.7,Media amplifier,Trim launch for historical novel by Skryne author | Meath Chronicle,https://www.meathchronicle.ie/2026/04/10/trim-launch-for-historical-novel-by-skryne-author
C103,Media outlet,Media outlet,8,1,6.511611069619835,1120000,0.0110635895927871,-0.492625,Strong preserve,0.2875,Sinn Féin and government neutrality clash,Other Neutrality Debate,11.4,Media amplifier,C103 - Neutrality,
Today FM,Media outlet,Media outlet,6,1,5.7538081485170425,1548000,0.0097760402564313,-0.422,Lean preserve,0.1083333333333333,Sinn Féin and government neutrality clash,Other Neutrality Debate,10.6,Media amplifier,Today FM - Neutrality,
Sally Rooney,Actor / organisation,Person,2,2,2.066648200493951,839292,0.0005748188757789375,-0.625,Strong preserve,0.0,Defence capability and security gaps,Shannon / US Military / Anti-war,10.1,Defender of neutrality,"Sally Rooney and Omar Barghouti speak at BDS Panel: ""The Irish government is not listening to its people, not just about Palestine but about everything"" | Hotpress",https://www.hotpress.com/opinion/sally-rooney-and-omar-barghouti-speak-at-bds-panel-the-irish-government-is-not-listening-to-its-people-not-just-about-palestine-but-about-everything-23137398
Omar Barghouti,Actor / organisation,Person,2,2,2.066648200493951,839292,0.0005748188757789375,-0.625,Strong preserve,0.0,Defence capability and security gaps,Shannon / US Military / Anti-war,10.1,Defender of neutrality,"Sally Rooney and Omar Barghouti speak at BDS Panel: ""The Irish government is not listening to its people, not just about Palestine but about everything"" | Hotpress",https://www.hotpress.com/opinion/sally-rooney-and-omar-barghouti-speak-at-bds-panel-the-irish-government-is-not-listening-to-its-people-not-just-about-palestine-but-about-everything-23137398
Roscommon Herald,Media outlet,Media outlet,6,6,4.6558463198538815,356610,0.0079105420055376,-0.1208333333333333,Mixed / unclear,-0.3833333333333333,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,10.0,Media amplifier,"Irish neutrality should be put to a public vote, say Sinn Féin",https://roscommonindependent.ie/irish-neutrality-should-be-put-to-a-public-vote-say-sinn-f%C3%A9in_arid-93952.html
Ireland Afloat,Media outlet,Media outlet,6,6,4.44699233813316,322272,0.0075556874674099,0.3755,Reform / redefine,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,9.8,Media amplifier,Marine Notice: Inshore Geophysical and Geotechnical Survey in Galway Bay,https://afloat.ie/port-news/undersea-cables/item/71118-marine-notice-inshore-geophysical-and-geotechnical-survey-in-galway-bay
Connaught Telegraph,Media outlet,Media outlet,6,6,4.46336337683697,347052,0.007583502773252,0.12,Mixed / unclear,-0.2166666666666666,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,9.8,Media amplifier,"LIVE: Fuel Protests, as it happens | Connaught Telegraph",https://www.con-telegraph.ie/2026/04/09/live-fuel-protests-as-it-happens
Offaly Independent,Media outlet,Media outlet,6,6,4.459948187856829,341730,0.007577700177112,-0.0466666666666666,Mixed / unclear,-0.05,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,9.8,Media amplifier,"LIVE: Fuel Protests, as it happens | Offaly Independent",https://www.offalyindependent.ie/2026/04/09/live-fuel-protests-as-it-happens
The Westmeath Independent,Media outlet,Media outlet,6,6,4.454029987300714,332700,0.0075676448250062,0.1478333333333333,Mixed / unclear,-0.2749999999999999,Defence capability and security gaps,Ukraine / Russia / Moral Responsibility,9.8,Media amplifier,"LIVE: Fuel Protests, as it happens | Westmeath Independent",https://www.westmeathindependent.ie/2026/04/09/live-fuel-protests-as-it-happens
KFM Radio,Media outlet,Media outlet,15,1,4.408,0,0.0074894373149121,-0.3164666666666667,Lean preserve,-0.0433333333333333,Sinn Féin and government neutrality clash,Other Neutrality Debate,9.8,Media amplifier,KFM Radio - Neutrality,
Waterford Live,Media outlet,Media outlet,6,5,4.5582312193288335,379698,0.0077446885172502,-0.3876666666666666,Lean preserve,0.1083333333333333,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,9.4,Media amplifier,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://waterfordlive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html
Letterkenny Live,Media outlet,Media outlet,6,5,4.53768224863129,345984,0.0077097746724395,-0.3531666666666666,Lean preserve,0.1666666666666666,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,9.3,Media amplifier,91-year-old woman walks 220km to protest over US military at Co Clare airport,https://letterkennylive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html
Leitrim Observer,Media outlet,Media outlet,6,5,4.526694148521262,329202,0.0076911052788406,-0.4006666666666666,Lean preserve,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,9.3,Media amplifier,91-year-old woman walks 220km to protest US military at Co Clare airport,http://leitrimobserver.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html
The Inish Times,Media outlet,Media outlet,6,5,4.522004681121101,322290,0.0076831376127486,-0.3573333333333333,Lean preserve,0.0,"NATO, EU security and defence cooperation",Defence Capability / Underinvestment,9.3,Media amplifier,91-year-old woman walks 220km to protest over US military at Co Clare airport,http://inishlive.ie/news/national-news/2062297/91-year-old-woman-walks-220km-to-protest-us-military-at-co-clare-airport.html
North West Today,Media outlet,Media outlet,8,1,5.502427052465625,400000,0.009348929784328,-0.2754999999999999,Lean preserve,-0.1625,Ukraine war and moral neutrality,Other Neutrality Debate,9.0,Media amplifier,North West Today - Neutrality,
