actor,actor_type,mentions,unique_stories,weighted_mentions,estimated_reach,avg_stance,stance_strength,avg_sentiment,cluster_spread,top_cluster,top_frame,sample_headline,sample_link,mentions_s,unique_stories_s,weighted_mentions_s,estimated_reach_s,cluster_spread_s,share_of_voice,stance_label,impact_score,narrative_role
US military,Institution / issue actor,76,51,60.47646186753913,11632808,-0.7453026315789474,0.7453026315789473,0.19342105263157897,8,Shannon Airport and US military use,Shannon / US Military / Anti-war,Letters to the Editor: Neutralising Ireland’s neutrality,https://irishexaminer.com/opinion/yourview/arid-41838741.html,0.18248175182481752,0.22624434389140272,0.18514578530185286,0.21517757400178422,0.7000000000000001,0.01682096247125074,Strong preserve,34.5,Issue symbol / mobilising frame
NATO,International body,82,68,68.7100563152801,16333958,-0.01019512195121951,0.29536585365853657,0.04085365853658537,9,Ukraine war and moral neutrality,Other Neutrality Debate,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,0.19708029197080293,0.30316742081447967,0.21054997115852006,0.302136978130047,0.8,0.019111059790639193,Mixed / unclear,34.4,Alignment reference point
Fianna Fáil,Political party,77,53,60.33480642808715,9361209,-0.473,0.528974025974026,-0.020129870129870133,10,Sinn Féin and government neutrality clash,Other Neutrality Debate,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.18491484184914841,0.23529411764705882,0.18470871724679055,0.173158728515391,0.9,0.01678156233511035,Strong preserve,33.7,Defender of neutrality
Palestine,State / geopolitical actor,89,39,68.95443158976097,9022459,-0.6494044943820225,0.6494044943820225,0.17247191011235957,9,Defence capability and security gaps,Shannon / US Military / Anti-war,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh,0.21411192214111924,0.17194570135746606,0.21130397415576382,0.16689270889286267,0.8,0.019179030488560442,Strong preserve,33.3,Geopolitical reference point
UN Security Council,International body,92,40,71.51533021224189,8958101,-0.7339782608695652,0.7448478260869567,0.052717391304347834,7,Referendum and constitutional protection,Other Neutrality Debate,"Ireland must retain triple lock to protect peacekeeping role, says former PDForra chief",https://irishexaminer.com/news/arid-41837093.html,0.22141119221411193,0.17647058823529413,0.21920544962659394,0.16570224840321934,0.6000000000000001,0.019891320498445275,Strong preserve,32.0,Institutional legitimacy anchor
Fine Gael,Political party,65,45,48.65872572657223,6769052,-0.537923076923077,0.5892153846153846,-0.07384615384615385,10,Sinn Féin and government neutrality clash,Other Neutrality Debate,Classic Hits 4FM - Neutrality,https://www.shannonside.ie/news/sinn-fein-leader-claims-parties-are-trying-to-dismantle-irish-neutrality-287669,0.15571776155717762,0.1990950226244344,0.14868297829384597,0.12521036946985847,0.9,0.01353396964819595,Strong preserve,31.6,Defender of neutrality
Mary Lou McDonald,Person,92,35,69.24780918506873,9048899,-0.5721847826086957,0.5975543478260871,-0.009782608695652175,8,Sinn Féin and government neutrality clash,Other Neutrality Debate,Cork's 96 FM - Neutrality,https://www.shannonside.ie/news/sinn-fein-leader-claims-parties-are-trying-to-dismantle-irish-neutrality-287669,0.22141119221411193,0.15384615384615385,0.212209170422678,0.16738178212923063,0.7000000000000001,0.01926063072389475,Strong preserve,30.9,Neutrality defender / challenger
Gaza,State / geopolitical actor,59,50,47.68670955423304,8085980,-0.32001694915254236,0.37933898305084746,0.2483050847457627,10,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Public meeting on neutrality in Galway,https://connachttribune.ie/news/public-meeting-on-neutrality-in-galway-8114409,0.1411192214111922,0.22171945701357468,0.1456838896631731,0.14957021209556173,0.9,0.013263612437283414,Lean preserve,29.8,Geopolitical reference point
United States,State / geopolitical actor,57,46,44.717101493620156,8568332,-0.2576140350877193,0.4835438596491228,0.005263157894736843,8,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.1362530413625304,0.20361990950226244,0.13652136950601804,0.15849250610874482,0.7000000000000001,0.012437643718225385,Lean preserve,27.9,Geopolitical reference point
Helen McEntee,Person,73,31,55.092313340574705,6181481,0.020561643835616428,0.5183424657534247,-0.004109589041095891,7,General neutrality debate,Defence Capability / Underinvestment,Dorcha Lee: Security will be the big challenge for Ireland's EU presidency,https://irishexaminer.com/opinion/commentanalysis/arid-41823866.html,0.17518248175182483,0.13574660633484162,0.1685333676357832,0.11434178964512465,0.6000000000000001,0.015323411895126175,Mixed / unclear,25.5,Government responder / reframer
People Before Profit,Political party,46,22,36.31797087575553,6154296,-0.6727391304347826,0.6727391304347826,0.16304347826086957,7,Defence capability and security gaps,Other Neutrality Debate,Galway Bay FM - Neutrality,https://irishtimes.com/ireland/2026/04/18/hundreds-demonstrate-in-dublin-to-demand-irelands-neutrality-be-protected,0.10948905109489052,0.09502262443438915,0.11060643325248425,0.11383893578995584,0.6000000000000001,0.010101504060722254,Strong preserve,25.0,Neutrality defender / challenger
Labour Party,Political party,44,22,33.82873080392846,5310598,-0.7107272727272728,0.7107272727272729,0.075,7,Shannon Airport and US military use,Shannon / US Military / Anti-war,BUYER'S REMORSE AND BREXIT,https://www.corkbeo.ie/news/local-news/91-year-old-clare-woman-33776274,0.10462287104622872,0.09502262443438915,0.10292605528051495,0.09823265321139378,0.6000000000000001,0.009409145206762724,Strong preserve,24.9,Neutrality defender / challenger
Lelia Doolan,Person,44,23,33.63255288105491,6743375,-0.8266590909090908,0.8266590909090908,0.14886363636363636,5,Shannon Airport and US military use,Shannon / US Military / Anti-war,Neutrality campaigner (91) in Nenagh | Nenagh Guardian,https://www.nenaghguardian.ie/2026/04/27/neutrality-campaigner-91-in-nenagh,0.10462287104622872,0.0995475113122172,0.10232076187612316,0.12473540980683956,0.4,0.009354580151591813,Strong preserve,24.3,Defender of neutrality
Simon Harris,Person,45,23,33.33494043771532,4722851,-0.6240444444444445,0.6759111111111112,0.03666666666666667,5,Shannon Airport and US military use,Shannon / US Military / Anti-war,KFM Radio - Neutrality,https://www.corkbeo.ie/news/local-news/91-year-old-clare-woman-33776274,0.10705596107055962,0.0995475113122172,0.10140249927868246,0.08736081783107746,0.4,0.009271802032869236,Strong preserve,21.4,Government responder / reframer
Cabinet,State / government,43,32,33.014674114015364,4133458,-0.3805813953488373,0.4422093023255814,-0.09069767441860466,6,Triple Lock and UN mandate debate,Other Neutrality Debate,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,0.10218978102189781,0.14027149321266968,0.10041433970116799,0.07645853560707501,0.5000000000000001,0.009182722949116586,Lean preserve,20.3,Government responder / reframer
Triple Lock,Institution / issue actor,22,20,17.512710668398757,2414045,-0.680590909090909,0.680590909090909,0.22272727272727275,6,Triple Lock and UN mandate debate,Other Neutrality Debate,"In a world thirsty for bloody war, Ireland must protect the Triple Lock at all costs",https://irishtimes.com/ireland/2026/04/18/hundreds-demonstrate-in-dublin-to-demand-irelands-neutrality-be-protected,0.05109489051094891,0.08597285067873305,0.052584104314270186,0.0446537367960631,0.5000000000000001,0.004870996745282891,Strong preserve,20.2,Issue symbol / mobilising frame
EU,International body,43,21,35.055900004740046,6130455,-0.5974418604651163,0.677674418604651,0.00813953488372093,2,Referendum and constitutional protection,Other Neutrality Debate,Proposal to increase EU tariffs on goods from Israeli settlements,https://irishtimes.com/world/europe/2026/04/20/proposal-to-increase-eu-tariffs-on-goods-from-israeli-settlements,0.10218978102189781,0.0904977375565611,0.10671240092249017,0.11339793749085415,0.1,0.009750470847107538,Strong preserve,17.8,Alignment reference point
Irish Neutrality League,Civil society / NGO,28,5,22.090817858133832,3018754,-0.8642857142857142,0.8642857142857142,0.20892857142857144,3,Defence capability and security gaps,Other Neutrality Debate,"Fuel demonstrations prove protests ‘effective’, say neutrality campaigners",https://echolive.ie/nationalnews/arid-41828123.html,0.06569343065693431,0.01809954751131222,0.06670953721699034,0.05583932634564089,0.20000000000000004,0.006144354459174404,Strong preserve,17.7,Neutrality defender / challenger
Ireland Palestine Solidarity Campaign,Civil society / NGO,29,6,22.598314984559373,2709646,-0.8344827586206897,0.8344827586206897,0.1793103448275862,3,Defence capability and security gaps,Other Neutrality Debate,"Fuel demonstrations prove protests ‘effective’, say neutrality campaigners",https://echolive.ie/nationalnews/arid-41828123.html,0.0681265206812652,0.02262443438914027,0.06827538447887196,0.05012160887411179,0.20000000000000004,0.0062855100402758445,Strong preserve,17.3,Defender of neutrality
Volodymyr Zelenskiy,Person,21,14,17.162465367383344,2763038,0.5842380952380952,0.6658571428571427,-0.3119047619047619,4,Defence capability and security gaps,Defence Capability / Underinvestment,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.04866180048661801,0.05882352941176472,0.0515034466769656,0.05110922605399675,0.30000000000000004,0.004773579289264776,Move away / align,16.8,Geopolitical reference point
Ivana Bacik,Person,29,8,20.800841706751196,2716744,-0.9073793103448275,0.9073793103448274,0.10172413793103449,1,Shannon Airport and US military use,Shannon / US Military / Anti-war,91-year-old Clare woman walks 220km from Shannon Airport to the Dáil in protest,https://www.corkbeo.ie/news/local-news/91-year-old-clare-woman-33776274,0.0681265206812652,0.031674208144796386,0.06272940507562844,0.0502529039509552,0.0,0.005785559652713304,Strong preserve,15.5,Defender of neutrality
UN,International body,17,16,14.52616232216582,3766271,-0.49376470588235294,0.49376470588235294,0.2882352941176471,3,Ukraine war and moral neutrality,Peacekeeping / Identity / Tradition,"Ukrainian diplomat on Irish neutrality: ‘Security is something you need to discuss, but which makes you very nervous’",https://irishtimes.com/world/europe/2026/05/01/stop-you-have-crossed-a-line-ukrainian-diplomat-likens-irish-security-attitude-to-stance-on-birth-control,0.038929440389294405,0.06787330316742082,0.04336931607819911,0.06966650329080251,0.20000000000000004,0.004040316244155149,Strong preserve,13.5,Institutional legitimacy anchor
Shannonwatch,Civil society / NGO,2,2,1.5282462750933008,120537,-0.8285,0.8285,0.325,2,Defence capability and security gaps,Other Neutrality Debate,91 year old lady walking to Dáíl welcomes Laois supporters,https://www.leinsterexpress.ie/news/newsletter-laois-live/2053521/91-year-old-lady-walking-to-dail-welcomes-laois-supporters.html,0.0024330900243309003,0.004524886877828055,0.0032651456451042527,0.0022296301320758553,0.1,0.0004250674137729477,Strong preserve,12.4,Neutrality defender / challenger
Sally Rooney,Person,2,2,2.066648200493951,839292,-0.625,0.625,0.0,2,Defence capability and security gaps,Shannon / US Military / Anti-war,"Sally Rooney and Omar Barghouti speak at BDS Panel: ""The Irish government is not listening to its people, not just about Palestine but about everything"" | Hotpress",https://www.hotpress.com/opinion/sally-rooney-and-omar-barghouti-speak-at-bds-panel-the-irish-government-is-not-listening-to-its-people-not-just-about-palestine-but-about-everything-23137398,0.0024330900243309003,0.004524886877828055,0.004926347525434695,0.015524782704150664,0.1,0.0005748188757789375,Strong preserve,10.1,Defender of neutrality
Omar Barghouti,Person,2,2,2.066648200493951,839292,-0.625,0.625,0.0,2,Defence capability and security gaps,Shannon / US Military / Anti-war,"Sally Rooney and Omar Barghouti speak at BDS Panel: ""The Irish government is not listening to its people, not just about Palestine but about everything"" | Hotpress",https://www.hotpress.com/opinion/sally-rooney-and-omar-barghouti-speak-at-bds-panel-the-irish-government-is-not-listening-to-its-people-not-just-about-palestine-but-about-everything-23137398,0.0024330900243309003,0.004524886877828055,0.004926347525434695,0.015524782704150664,0.1,0.0005748188757789375,Strong preserve,10.1,Defender of neutrality
Quakers,Civil society / NGO,1,1,0.7842819732227284,62560,-0.667,0.667,0.0,1,Triple Lock and UN mandate debate,Other Neutrality Debate,Public meeting on neutrality in Galway,https://connachttribune.ie/news/public-meeting-on-neutrality-in-galway-8114409,0.0,0.0,0.0009696952782682745,0.0011572020297723148,0.0,0.0002181406985638991,Strong preserve,8.7,Neutrality defender / challenger
Kathy Sheridan,Person,2,2,2.0134395912810445,833668,-0.006000000000000005,0.494,0.0,1,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.0024330900243309003,0.004524886877828055,0.004762176044048419,0.015420752905310519,0.0,0.0005600193985760863,Mixed / unclear,7.0,Participant / responder
Colm McCarthy,Person,3,3,3.003164437357416,1227489,0.22233333333333336,0.22233333333333336,0.3333333333333333,1,Ukraine war and moral neutrality,Budget / Fiscal / Public Finances,"Colm McCarthy: Amid uncertainty, prudent progress is needed",http://farmersjournal.ie/viewpoints/viewpoints/colm-mccarthy-amid-uncertainty-prudent-progress-is-needed-914238,0.0048661800486618,0.009049773755656108,0.007815903561995815,0.022705446968081664,0.0,0.0008353021115294209,Reform / redefine,3.8,Participant / responder
Sergiy Kyslytsya,Person,2,2,2.0509395912810446,833668,0.244,0.244,0.0,1,Ukraine war and moral neutrality,Ukraine / Russia / Moral Responsibility,Kathy Sheridan: Our neutrality won’t shield us from skyrocketing fuel prices,https://irishtimes.com/opinion/2026/05/06/kathy-sheridan-irish-neutrality-fuel-prices-ukraine-war-refugees,0.0024330900243309003,0.004524886877828055,0.004877879698833894,0.015420752905310519,0.0,0.0005704496729868728,Reform / redefine,3.8,Participant / responder
